"Deaths registered weekly, by sex and age"
"Topic: |Deaths"
""
"Age, 31 December";"Total";"0 to 64 years";"65 to 79 years";"80 years or older"
"Sex";"Total male and female";"Total male and female";"Total male and female";"Total male and female"
"Periods";"aantal";"aantal";"aantal";"aantal"
"2018 week 1";"3343";"431";"932";"1980"
"2018 week 2";"3359";"406";"926";"2027"
"2018 week 3";"3364";"423";"983";"1958"
"2018 week 4";"3322";"408";"936";"1978"
"2018 week 5";"3403";"456";"921";"2026"
"2018 week 6";"3513";"443";"970";"2100"
"2018 week 7";"3660";"427";"1070";"2163"
"2018 week 8";"3691";"434";"1047";"2210"
"2018 week 9";"3937";"468";"1111";"2358"
"2018 week 10";"4092";"464";"1114";"2514"
"2018 week 11";"3733";"445";"1045";"2243"
"2018 week 12";"3430";"438";"947";"2045"
"2018 week 13";"3225";"411";"897";"1917"
"2018 week 14";"3040";"445";"902";"1693"
"2018 week 15";"2860";"402";"846";"1612"
"2018 week 16";"2760";"380";"874";"1506"
"2018 week 17";"2663";"400";"829";"1434"
"2018 week 18";"2645";"395";"767";"1483"
"2018 week 19";"2641";"371";"758";"1512"
"2018 week 20";"2606";"350";"825";"1431"
"2018 week 21";"2674";"391";"797";"1486"
"2018 week 22";"2776";"416";"857";"1503"
"2018 week 23";"2679";"399";"825";"1455"
"2018 week 24";"2557";"372";"797";"1388"
"2018 week 25";"2601";"362";"803";"1436"
"2018 week 26";"2619";"383";"784";"1452"
"2018 week 27";"2726";"406";"838";"1482"
"2018 week 28";"2671";"408";"805";"1458"
"2018 week 29";"2704";"391";"810";"1503"
"2018 week 30";"2767";"405";"824";"1538"
"2018 week 31";"2760";"402";"867";"1491"
"2018 week 32";"2745";"424";"827";"1494"
"2018 week 33";"2605";"404";"785";"1416"
"2018 week 34";"2612";"375";"813";"1424"
"2018 week 35";"2527";"407";"808";"1312"
"2018 week 36";"2613";"417";"811";"1385"
"2018 week 37";"2539";"368";"819";"1352"
"2018 week 38";"2706";"428";"868";"1410"
"2018 week 39";"2696";"447";"804";"1445"
"2018 week 40";"2806";"441";"873";"1492"
"2018 week 41";"2760";"432";"832";"1496"
"2018 week 42";"2739";"384";"831";"1524"
"2018 week 43";"2671";"430";"857";"1384"
"2018 week 44";"2815";"408";"920";"1487"
"2018 week 45";"2798";"407";"907";"1484"
"2018 week 46";"2761";"431";"825";"1505"
"2018 week 47";"2859";"403";"928";"1528"
"2018 week 48";"2907";"423";"916";"1568"
"2018 week 49";"2968";"438";"905";"1625"
"2018 week 50";"3017";"470";"960";"1587"
"2018 week 51";"3041";"425";"928";"1688"
"2018 week 52";"2901";"408";"909";"1584"
"2018 week 53 (1 day)";"456";"66";"142";"248"
"Source: CBS"
