"","location_name","excess2","excess20","excess24","excesssens1","excesssens2","total2","total20","total24","totalsens1","totalsens2"
"1","Norway","-6.4","-5.4","-2.9","-5.9","-4.6","212,702 (100)","90,076 (42)","55,896 (26)","103,770 (49)","118,797 (56)"
"2","Germany","-3.4","-2","-2.6","-0.3","-2","212,702 (100)","90,076 (42)","55,896 (26)","103,770 (49)","118,797 (56)"
"3","Denmark","-3.3","-1.4","-0.8","-1.3","-0.9","212,702 (100)","90,076 (42)","55,896 (26)","103,770 (49)","118,797 (56)"
"4","Canada","3.2","-9.3","-11","-7.6","-10.3","202,169 (95)","90,076 (42)","55,896 (26)","103,770 (49)","118,797 (56)"
"5","Austria","10","0.5","0","2.1","0.1","179,940 (85)","88,275 (42)","55,896 (26)","96,880 (46)","118,444 (56)"
"6","Israel","10.3","8.1","6","11.8","6.3","178,963 (84)","63,367 (30)","36,158 (17)","64,913 (31)","98,229 (46)"
"7","Switzerland","10.3","-5.6","-3.4","-6.2","-5.6","178,869 (84)","90,076 (42)","55,896 (26)","103,770 (49)","118,797 (56)"
"8","Finland","11.4","7.2","3.5","10.3","4.4","175,042 (82)","66,222 (31)","44,267 (21)","69,868 (33)","104,246 (49)"
"9","France","35.7","-1.1","-2","0.3","-0.6","95,170 (45)","90,076 (42)","55,896 (26)","102,739 (48)","118,797 (56)"
"10","Netherlands","47","-2.6","-2.7","2.7","-2.6","58,177 (27)","90,076 (42)","55,896 (26)","94,736 (45)","118,797 (56)"
"11","Sweden","52.7","17.3","4.3","28.9","17.3","39,134 (18)","32,998 (16)","41,887 (20)","8,607 (4)","61,718 (29)"
"12","Belgium","61.6","-5.5","-7.4","2.5","-5.5","9,843 (5)","90,076 (42)","55,896 (26)","95,526 (45)","118,797 (56)"
"13","United Kingdom","91.9","13.6","-1.2","32","13.6","-89,806 (-42)","45,373 (21)","55,896 (26)","-1,535 (-1)","74,094 (35)"
"14","Spain","99.7","2","2.2","6.7","4","-115,342 (-54)","83,532 (39)","48,622 (23)","81,704 (38)","105,722 (50)"
"15","United States of America","64.6","27.4","17","31.5","36.1","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
